nateam,birth_date,birth_country_isoCode,birth_country,player_name,player_id,normal_position
russia,1969-01-23,ru,russia,andrei kanchelskis,324,m
england,1965-06-30,gb-eng,england,gary pallister,320,d
england,1960-12-31,gb-eng,england,steve bruce,319,d
wales,1963-11-01,gb-wls,wales,mark hughes,339,f
england,1964-04-04,gb-eng,england,paul parker,317,d
scotland,1972-02-09,gb-sct,scotland,darren ferguson,323,m
denmark,1963-11-18,dk,denmark,peter schmeichel,307,g
wales,1964-09-23,gb-wls,wales,clayton blackmore,325,m
scotland,1963-12-08,gb-sct,scotland,brian mcclair,337,f
wales,1973-11-29,gb-wls,wales,ryan giggs,335,m
england,1967-10-21,gb-eng,england,paul ince,326,m
england,1957-01-11,gb-eng,england,bryan robson,322,m
england,1971-01-24,gb-eng,england,gerald dobbs,585,d
england,1964-06-10,gb-eng,england,alan mcleary,652,d
england,1965-12-24,gb-eng,england,roger joseph,588,d
jamaica,1965-01-27,jm,jamaica,robbie earle,598,m
northern ireland,1959-10-22,gb-nir,northern ireland,lawrie sanchez,597,m
scotland,1970-11-30,gb-sct,scotland,brian mcallister,584,d
england,1968-11-08,gb-eng,england,dean holdsworth,603,f
netherlands,1961-10-30,nl,netherlands,hans segers,582,g
england,1969-03-19,gb-eng,england,warren barton,590,d
england,1962-12-23,gb-eng,england,terry gibson,608,f
wales,1965-01-05,gb-wls,wales,vinnie jones,599,m
england,1967-07-22,gb-eng,england,andy clarke,607,f
england,1971-07-15,gb-eng,england,jason wilcox,80,m
england,1970-08-13,gb-eng,england,alan shearer,89,f
england,1971-09-28,gb-eng,england,alan wright,72,d
england,1967-11-20,gb-eng,england,stuart ripley,79,m
england,1963-10-12,gb-eng,england,bobby mimms,64,g
england,1969-02-06,gb-eng,england,tim sherwood,78,m
england,1965-01-27,gb-eng,england,mike newell,86,f
england,1970-06-24,gb-eng,england,david may,67,d
ireland,1956-04-29,ie,ireland,kevin moran,71,d
england,1958-10-27,gb-eng,england,gordon cowans,84,m
scotland,1965-12-07,gb-sct,scotland,colin hendry,75,d
united states,1964-03-19,za,south africa,roy wegerle,139,f
ireland,1965-10-31,ie,ireland,denis irwin,315,d
england,1960-12-11,gb-eng,england,john lukic,225,g
england,1961-09-02,gb-eng,england,chris whyte,630,d
england,1959-12-05,gb-eng,england,lee chapman,246,f
england,1968-12-02,gb-eng,england,david batty,243,m
england,1965-12-31,au,australia,tony dorigo,229,d
england,1962-10-25,gb-eng,england,steve hodge,240,m
england,1964-04-12,gb-eng,england,chris fairclough,234,d
france,1966-05-24,fr,france,eric cantona,342,f
scotland,1957-02-09,gb-sct,scotland,gordon strachan,242,m
scotland,1964-12-25,gb-sct,scotland,gary mcallister,238,m
wales,1969-09-08,gb-wls,wales,gary speed,239,m
england,1965-11-27,gb-eng,england,scott sellars,631,m
england,1964-03-10,gb-eng,england,shaun teale,39,d
england,1958-08-08,gb-eng,england,nigel spink,33,g
england,1973-03-09,gb-eng,england,stephen froggatt,46,m
england,1968-03-21,gb-eng,england,dalian atkinson,62,f
